Month,Q0,Q1,Q2pt5,Q5,Q10,Q25,Q50,Q75,Q90,Q95,Q97pt5,Q99,Q100,STNAME,CTYNAME,POPESTIMATE2015
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Nevada,Storey,3872
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Wisconsin,Menominee,4510
JUL,-0.059999999,0.050000001,0.090000004,0.119999997,0.170000002,0.270000011,0.5,0.959999979,1.896999979,3.109999895,6.639999866,17.5613999,50.00999832,Tennessee,Cocke,35068
JUL,0.419999987,0.662700024,0.970000029,1.49000001,2.839999914,9.859999657,24.80999947,43.00999832,70.40000153,89.82650108,105.9832516,126.5957017,248.5299988,Texas,Dallas,2554233
JUL,0.050000001,0.109999999,0.129999995,0.150000006,0.180000007,0.270000011,0.479999989,0.910000026,1.879999995,4.130000114,9.224999905,16.16400032,45.63000107,Georgia,McDuffie,21462
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,Kearney,6559
JUL,-0.079999998,0,0,0,0,0.07,0.200000003,0.419999987,0.829999983,1.340000033,2.779999971,6.190000057,26.62000084,Virginia,Caroline,29898
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,New Jersey,Union,557073
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,California,Yuba,74201
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Michigan,St. Joseph,60785
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,California,Siskiyou,43351
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio,Portage,162260
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio,Holmes,43868
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,Guthrie,10644
JUL,0.090000004,0.180000007,0.209999993,0.25,0.319999993,0.600000024,1.460000038,5.409999847,17.51400032,29.12050018,40.16174955,56.75339943,148.8699951,South Carolina,Richland,406101
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,Douglas,40494
JUL,0.039999999,0.079999998,0.100000001,0.119999997,0.140000001,0.189999998,0.25999999,0.400000006,0.74000001,1.399999976,2.908500087,6.514800005,38.59000015,Georgia,Bacon,11287
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Missouri,Knox,3907
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Idaho,Latah,38661
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,Clay,6291
